bmi,goal,meal_time,recommendation
23,muscle_gain,dinner,lentil_stew_rice
17,muscle_gain,breakfast,paneer_paratha
32,weight_loss,breakfast,fruit_bowl
35,weight_loss,lunch,vegetable_dalia
40,weight_loss,breakfast,fruit_bowl
24,maintenance,breakfast,muesli_milk
17,muscle_gain,lunch,lentils_quinoa
22,muscle_gain,lunch,paneer_pulao
27,maintenance,lunch,dal_roti
23,maintenance,breakfast,avocado_toast
30,weight_loss,dinner,boiled_vegetables
29,weight_loss,dinner,clear_soup_tofu
23,maintenance,breakfast,smoothie_oats
34,weight_loss,breakfast,oats_green_tea
23,maintenance,breakfast,smoothie_oats
20,muscle_gain,dinner,lentil_stew_rice
23,muscle_gain,dinner,eggs_roti
33,weight_loss,lunch,salad_chicken
19,muscle_gain,dinner,eggs_roti
22,maintenance,dinner,baked_fish_veggies
35,weight_loss,dinner,moong_dal_chilla
22,muscle_gain,lunch,chicken_rice
19,muscle_gain,dinner,paneer_roti
20,muscle_gain,breakfast,paneer_paratha
38,weight_loss,breakfast,oats_green_tea
23,muscle_gain,breakfast,greek_yogurt_nuts
36,weight_loss,breakfast,fruit_bowl
23,muscle_gain,dinner,lentil_stew_rice
35,weight_loss,dinner,clear_soup_tofu
21,muscle_gain,dinner,eggs_roti
35,weight_loss,lunch,vegetable_dalia
19,muscle_gain,lunch,chicken_rice
25,maintenance,lunch,dal_roti
37,weight_loss,lunch,grilled_chicken_salad
20,muscle_gain,breakfast,paneer_paratha
34,weight_loss,dinner,soup_salad
21,muscle_gain,lunch,turkey_sandwich
37,weight_loss,breakfast,oats_green_tea
30,weight_loss,lunch,vegetable_dalia
20,muscle_gain,dinner,lentil_stew_rice
23,muscle_gain,dinner,eggs_roti
36,weight_loss,dinner,boiled_vegetables
39,weight_loss,breakfast,black_coffee_omelette
37,weight_loss,dinner,clear_soup_tofu
35,weight_loss,dinner,soup_salad
37,weight_loss,dinner,moong_dal_chilla
25,maintenance,breakfast,smoothie_oats
35,weight_loss,dinner,boiled_vegetables
21,muscle_gain,lunch,paneer_pulao
39,weight_loss,lunch,sprouts_salad
22,maintenance,dinner,baked_fish_veggies
35,weight_loss,breakfast,fruit_bowl
22,muscle_gain,lunch,beef_stir_fry
22,maintenance,lunch,quinoa_bowl
19,muscle_gain,lunch,fish_rice
21,muscle_gain,breakfast,peanut_butter_toast
30,weight_loss,dinner,soup_salad
22,muscle_gain,dinner,eggs_roti
36,weight_loss,breakfast,black_coffee_omelette
29,weight_loss,lunch,clear_soup_crackers
23,muscle_gain,breakfast,oatmeal_protein_shake
30,weight_loss,breakfast,fruit_bowl
20,muscle_gain,dinner,grilled_chicken_sweet_potato
22,muscle_gain,breakfast,eggs_milk_banana
18,muscle_gain,dinner,tofu_steak_rice
30,weight_loss,dinner,soup_salad
18,muscle_gain,breakfast,greek_yogurt_nuts
22,maintenance,breakfast,muesli_milk
24,maintenance,breakfast,poha_with_peanuts
30,weight_loss,dinner,boiled_vegetables
23,maintenance,breakfast,oats_fruits
26,maintenance,breakfast,oats_fruits
17,muscle_gain,lunch,chicken_rice
23,maintenance,breakfast,poha_with_peanuts
22,muscle_gain,dinner,tofu_steak_rice
29,weight_loss,lunch,clear_soup_crackers
26,maintenance,lunch,rice_dal_salad
29,weight_loss,breakfast,chia_pudding
34,weight_loss,dinner,moong_dal_chilla
29,weight_loss,breakfast,oats_green_tea
36,weight_loss,lunch,clear_soup_crackers
38,weight_loss,dinner,clear_soup_tofu
33,weight_loss,lunch,sprouts_salad
23,maintenance,dinner,baked_fish_veggies
23,muscle_gain,breakfast,greek_yogurt_nuts
23,muscle_gain,breakfast,peanut_butter_toast
23,maintenance,dinner,tofu_stir_fry
23,muscle_gain,breakfast,eggs_milk_banana
19,muscle_gain,lunch,lentils_quinoa
37,weight_loss,lunch,salad_chicken
28,weight_loss,lunch,grilled_chicken_salad
22,muscle_gain,dinner,paneer_roti
37,weight_loss,lunch,grilled_chicken_salad
19,muscle_gain,breakfast,oatmeal_protein_shake
22,muscle_gain,breakfast,oatmeal_protein_shake
30,weight_loss,breakfast,chia_pudding
21,muscle_gain,lunch,lentils_quinoa
27,maintenance,dinner,vegetable_soup
38,weight_loss,dinner,clear_soup_tofu
37,weight_loss,breakfast,oats_green_tea
22,maintenance,dinner,roti_vegetables
25,maintenance,dinner,vegetable_soup
23,maintenance,lunch,quinoa_bowl
39,weight_loss,lunch,salad_chicken
37,weight_loss,breakfast,fruit_bowl
22,muscle_gain,breakfast,eggs_milk_banana
28,weight_loss,breakfast,boiled_eggs_spinach
38,weight_loss,dinner,moong_dal_chilla
23,maintenance,lunch,rice_dal_salad
20,muscle_gain,dinner,lentil_stew_rice
23,muscle_gain,lunch,lentils_quinoa
23,muscle_gain,breakfast,eggs_milk_banana
22,muscle_gain,breakfast,greek_yogurt_nuts
18,muscle_gain,dinner,paneer_roti
26,maintenance,lunch,mixed_veg_curry_rice
18,muscle_gain,dinner,eggs_roti
26,maintenance,dinner,roti_vegetables
19,muscle_gain,lunch,beef_stir_fry
19,muscle_gain,dinner,eggs_roti
28,weight_loss,lunch,sprouts_salad
18,muscle_gain,dinner,grilled_chicken_sweet_potato
32,weight_loss,breakfast,fruit_bowl
22,maintenance,dinner,tofu_stir_fry
23,maintenance,lunch,rice_dal_salad
24,maintenance,lunch,mixed_veg_curry_rice
18,muscle_gain,dinner,eggs_roti
25,maintenance,lunch,chickpea_salad
26,maintenance,dinner,baked_fish_veggies
22,muscle_gain,dinner,grilled_chicken_sweet_potato
19,muscle_gain,lunch,fish_rice
40,weight_loss,dinner,clear_soup_tofu
30,weight_loss,dinner,moong_dal_chilla
20,muscle_gain,dinner,eggs_roti
22,maintenance,breakfast,oats_fruits
21,muscle_gain,breakfast,oatmeal_protein_shake
26,maintenance,breakfast,avocado_toast
19,muscle_gain,lunch,turkey_sandwich
36,weight_loss,lunch,sprouts_salad
22,maintenance,dinner,tofu_stir_fry
23,muscle_gain,dinner,paneer_roti
17,muscle_gain,dinner,lentil_stew_rice
26,maintenance,lunch,chickpea_salad
23,maintenance,dinner,tofu_stir_fry
26,maintenance,lunch,rice_dal_salad
26,maintenance,breakfast,oats_fruits
40,weight_loss,lunch,sprouts_salad
21,muscle_gain,lunch,paneer_pulao
39,weight_loss,breakfast,black_coffee_omelette
17,muscle_gain,dinner,paneer_roti
22,maintenance,breakfast,poha_with_peanuts
26,maintenance,dinner,vegetable_soup
25,maintenance,breakfast,smoothie_oats
24,maintenance,dinner,tofu_stir_fry
34,weight_loss,dinner,clear_soup_tofu
31,weight_loss,breakfast,boiled_eggs_spinach
22,maintenance,dinner,vegetable_soup
37,weight_loss,breakfast,chia_pudding
35,weight_loss,lunch,clear_soup_crackers
30,weight_loss,dinner,boiled_vegetables
37,weight_loss,dinner,boiled_vegetables
29,weight_loss,dinner,roasted_cauliflower
30,weight_loss,dinner,roasted_cauliflower
23,maintenance,lunch,dal_roti
26,maintenance,breakfast,avocado_toast
27,maintenance,breakfast,avocado_toast
17,muscle_gain,lunch,paneer_pulao
31,weight_loss,breakfast,oats_green_tea
20,muscle_gain,dinner,eggs_roti
22,muscle_gain,breakfast,greek_yogurt_nuts
23,muscle_gain,dinner,lentil_stew_rice
22,muscle_gain,dinner,eggs_roti
20,muscle_gain,lunch,turkey_sandwich
39,weight_loss,dinner,boiled_vegetables
21,muscle_gain,lunch,paneer_pulao
36,weight_loss,lunch,clear_soup_crackers
40,weight_loss,breakfast,chia_pudding
33,weight_loss,breakfast,black_coffee_omelette
18,muscle_gain,dinner,lentil_stew_rice
23,muscle_gain,lunch,beef_stir_fry
40,weight_loss,dinner,moong_dal_chilla
35,weight_loss,lunch,sprouts_salad
17,muscle_gain,breakfast,peanut_butter_toast
24,maintenance,breakfast,smoothie_oats
38,weight_loss,dinner,moong_dal_chilla
38,weight_loss,lunch,clear_soup_crackers
35,weight_loss,breakfast,boiled_eggs_spinach
34,weight_loss,breakfast,oats_green_tea
23,muscle_gain,dinner,grilled_chicken_sweet_potato
35,weight_loss,breakfast,chia_pudding
22,maintenance,breakfast,smoothie_oats
28,weight_loss,breakfast,boiled_eggs_spinach
24,maintenance,lunch,quinoa_bowl
39,weight_loss,lunch,salad_chicken
21,muscle_gain,dinner,eggs_roti
25,maintenance,breakfast,poha_with_peanuts
22,maintenance,lunch,chickpea_salad
36,weight_loss,dinner,boiled_vegetables
17,muscle_gain,breakfast,paneer_paratha
20,muscle_gain,lunch,lentils_quinoa
23,muscle_gain,dinner,tofu_steak_rice
31,weight_loss,dinner,moong_dal_chilla
25,maintenance,dinner,baked_fish_veggies
29,weight_loss,breakfast,fruit_bowl
22,maintenance,lunch,quinoa_bowl
37,weight_loss,lunch,sprouts_salad
31,weight_loss,dinner,moong_dal_chilla
31,weight_loss,lunch,sprouts_salad
21,muscle_gain,breakfast,peanut_butter_toast
24,maintenance,lunch,quinoa_bowl
23,maintenance,breakfast,avocado_toast
31,weight_loss,breakfast,fruit_bowl
24,maintenance,breakfast,poha_with_peanuts
19,muscle_gain,dinner,lentil_stew_rice
35,weight_loss,lunch,grilled_chicken_salad
22,maintenance,dinner,vegetable_soup
35,weight_loss,breakfast,boiled_eggs_spinach
21,muscle_gain,dinner,paneer_roti
26,maintenance,dinner,cottage_cheese_salad
21,muscle_gain,breakfast,eggs_milk_banana
25,maintenance,dinner,baked_fish_veggies
26,maintenance,dinner,vegetable_soup
18,muscle_gain,lunch,paneer_pulao
25,maintenance,dinner,roti_vegetables
21,muscle_gain,breakfast,peanut_butter_toast
18,muscle_gain,dinner,paneer_roti
25,maintenance,breakfast,oats_fruits
21,muscle_gain,lunch,turkey_sandwich
31,weight_loss,dinner,boiled_vegetables
20,muscle_gain,dinner,eggs_roti
30,weight_loss,lunch,grilled_chicken_salad
21,muscle_gain,lunch,turkey_sandwich
28,weight_loss,dinner,soup_salad
36,weight_loss,lunch,grilled_chicken_salad
23,muscle_gain,lunch,chicken_rice
40,weight_loss,breakfast,black_coffee_omelette
19,muscle_gain,dinner,grilled_chicken_sweet_potato
22,maintenance,lunch,dal_roti
34,weight_loss,dinner,boiled_vegetables
24,maintenance,dinner,cottage_cheese_salad
26,maintenance,breakfast,oats_fruits
21,muscle_gain,breakfast,paneer_paratha
24,maintenance,lunch,rice_dal_salad
29,weight_loss,breakfast,oats_green_tea
33,weight_loss,dinner,boiled_vegetables
23,muscle_gain,lunch,lentils_quinoa
23,muscle_gain,dinner,lentil_stew_rice
27,maintenance,dinner,roti_vegetables
23,maintenance,lunch,mixed_veg_curry_rice
26,maintenance,dinner,baked_fish_veggies
25,maintenance,breakfast,smoothie_oats
24,maintenance,breakfast,muesli_milk
34,weight_loss,dinner,soup_salad
24,maintenance,dinner,baked_fish_veggies
24,maintenance,lunch,quinoa_bowl
32,weight_loss,breakfast,fruit_bowl
18,muscle_gain,lunch,chicken_rice
34,weight_loss,dinner,moong_dal_chilla
24,maintenance,dinner,cottage_cheese_salad
25,maintenance,breakfast,poha_with_peanuts
38,weight_loss,breakfast,boiled_eggs_spinach
26,maintenance,lunch,quinoa_bowl
35,weight_loss,breakfast,fruit_bowl
22,maintenance,dinner,baked_fish_veggies
33,weight_loss,lunch,vegetable_dalia
37,weight_loss,dinner,soup_salad
22,maintenance,lunch,chickpea_salad
24,maintenance,lunch,chickpea_salad
27,maintenance,lunch,mixed_veg_curry_rice
30,weight_loss,breakfast,boiled_eggs_spinach
24,maintenance,breakfast,avocado_toast
32,weight_loss,lunch,salad_chicken
17,muscle_gain,breakfast,greek_yogurt_nuts
22,maintenance,dinner,vegetable_soup
35,weight_loss,lunch,sprouts_salad
26,maintenance,lunch,rice_dal_salad
19,muscle_gain,dinner,eggs_roti
17,muscle_gain,dinner,eggs_roti
23,muscle_gain,breakfast,peanut_butter_toast
25,maintenance,dinner,roti_vegetables
24,maintenance,breakfast,muesli_milk
28,weight_loss,breakfast,fruit_bowl
19,muscle_gain,lunch,turkey_sandwich
21,muscle_gain,dinner,eggs_roti
27,maintenance,breakfast,poha_with_peanuts
34,weight_loss,lunch,salad_chicken
38,weight_loss,dinner,soup_salad
26,maintenance,lunch,mixed_veg_curry_rice
26,maintenance,breakfast,poha_with_peanuts
27,maintenance,breakfast,oats_fruits
23,maintenance,lunch,mixed_veg_curry_rice
23,muscle_gain,lunch,lentils_quinoa
38,weight_loss,lunch,salad_chicken
33,weight_loss,dinner,clear_soup_tofu
39,weight_loss,dinner,clear_soup_tofu
34,weight_loss,lunch,grilled_chicken_salad
40,weight_loss,breakfast,oats_green_tea
22,muscle_gain,breakfast,eggs_milk_banana
37,weight_loss,lunch,sprouts_salad
20,muscle_gain,breakfast,paneer_paratha
21,muscle_gain,dinner,paneer_roti
22,muscle_gain,lunch,beef_stir_fry
24,maintenance,lunch,mixed_veg_curry_rice
33,weight_loss,lunch,grilled_chicken_salad
37,weight_loss,lunch,vegetable_dalia
23,muscle_gain,breakfast,eggs_milk_banana
25,maintenance,breakfast,oats_fruits
26,maintenance,breakfast,smoothie_oats
26,maintenance,lunch,rice_dal_salad
22,maintenance,lunch,dal_roti
17,muscle_gain,breakfast,paneer_paratha
22,maintenance,breakfast,muesli_milk
32,weight_loss,dinner,soup_salad
23,maintenance,dinner,baked_fish_veggies
22,muscle_gain,lunch,chicken_rice
38,weight_loss,dinner,moong_dal_chilla
19,muscle_gain,lunch,paneer_pulao
37,weight_loss,breakfast,oats_green_tea
25,maintenance,breakfast,muesli_milk
18,muscle_gain,breakfast,oatmeal_protein_shake
17,muscle_gain,lunch,turkey_sandwich
28,weight_loss,lunch,clear_soup_crackers
25,maintenance,lunch,rice_dal_salad
34,weight_loss,lunch,salad_chicken
22,maintenance,lunch,quinoa_bowl
23,maintenance,breakfast,smoothie_oats
25,maintenance,breakfast,oats_fruits
34,weight_loss,breakfast,black_coffee_omelette
22,maintenance,breakfast,poha_with_peanuts
25,maintenance,breakfast,muesli_milk
39,weight_loss,lunch,vegetable_dalia
37,weight_loss,breakfast,black_coffee_omelette
22,maintenance,breakfast,muesli_milk
23,maintenance,breakfast,smoothie_oats
27,maintenance,dinner,cottage_cheese_salad
31,weight_loss,dinner,moong_dal_chilla
19,muscle_gain,dinner,paneer_roti
34,weight_loss,lunch,vegetable_dalia
20,muscle_gain,lunch,lentils_quinoa
29,weight_loss,dinner,roasted_cauliflower
33,weight_loss,dinner,roasted_cauliflower
19,muscle_gain,lunch,turkey_sandwich
36,weight_loss,breakfast,oats_green_tea
18,muscle_gain,dinner,eggs_roti
22,muscle_gain,dinner,lentil_stew_rice
17,muscle_gain,dinner,eggs_roti
24,maintenance,breakfast,oats_fruits
22,maintenance,breakfast,oats_fruits
21,muscle_gain,lunch,paneer_pulao
18,muscle_gain,dinner,paneer_roti
30,weight_loss,breakfast,boiled_eggs_spinach
18,muscle_gain,breakfast,eggs_milk_banana
22,maintenance,dinner,roti_vegetables
39,weight_loss,lunch,clear_soup_crackers
34,weight_loss,lunch,clear_soup_crackers
23,muscle_gain,lunch,turkey_sandwich
25,maintenance,dinner,vegetable_soup
17,muscle_gain,lunch,lentils_quinoa
31,weight_loss,lunch,salad_chicken
37,weight_loss,breakfast,chia_pudding
22,maintenance,lunch,chickpea_salad
24,maintenance,dinner,vegetable_soup
28,weight_loss,breakfast,chia_pudding
25,maintenance,lunch,mixed_veg_curry_rice
40,weight_loss,lunch,sprouts_salad
34,weight_loss,lunch,salad_chicken
18,muscle_gain,breakfast,paneer_paratha
19,muscle_gain,breakfast,eggs_milk_banana
25,maintenance,dinner,cottage_cheese_salad
26,maintenance,lunch,quinoa_bowl
34,weight_loss,breakfast,boiled_eggs_spinach
22,maintenance,dinner,cottage_cheese_salad
19,muscle_gain,dinner,tofu_steak_rice
35,weight_loss,lunch,clear_soup_crackers
34,weight_loss,breakfast,fruit_bowl
23,muscle_gain,dinner,eggs_roti
31,weight_loss,dinner,boiled_vegetables
18,muscle_gain,dinner,eggs_roti
23,muscle_gain,breakfast,oatmeal_protein_shake
23,maintenance,breakfast,oats_fruits
22,muscle_gain,dinner,eggs_roti
39,weight_loss,lunch,sprouts_salad
31,weight_loss,breakfast,fruit_bowl
23,muscle_gain,dinner,lentil_stew_rice
26,maintenance,lunch,mixed_veg_curry_rice
29,weight_loss,lunch,grilled_chicken_salad
37,weight_loss,lunch,clear_soup_crackers
18,muscle_gain,breakfast,paneer_paratha
36,weight_loss,breakfast,black_coffee_omelette
22,muscle_gain,lunch,chicken_rice
19,muscle_gain,breakfast,oatmeal_protein_shake
22,maintenance,dinner,tofu_stir_fry
39,weight_loss,lunch,vegetable_dalia
22,maintenance,lunch,dal_roti
23,maintenance,lunch,rice_dal_salad
36,weight_loss,breakfast,fruit_bowl
35,weight_loss,breakfast,chia_pudding
18,muscle_gain,dinner,eggs_roti
40,weight_loss,lunch,grilled_chicken_salad
21,muscle_gain,lunch,fish_rice
19,muscle_gain,dinner,eggs_roti
17,muscle_gain,lunch,chicken_rice
20,muscle_gain,lunch,lentils_quinoa
31,weight_loss,lunch,clear_soup_crackers
18,muscle_gain,breakfast,paneer_paratha
24,maintenance,breakfast,muesli_milk
20,muscle_gain,dinner,lentil_stew_rice
32,weight_loss,breakfast,boiled_eggs_spinach
22,maintenance,dinner,tofu_stir_fry
26,maintenance,breakfast,avocado_toast
36,weight_loss,lunch,grilled_chicken_salad
20,muscle_gain,breakfast,eggs_milk_banana
18,muscle_gain,lunch,chicken_rice
32,weight_loss,lunch,grilled_chicken_salad
19,muscle_gain,breakfast,oatmeal_protein_shake
34,weight_loss,breakfast,black_coffee_omelette
30,weight_loss,dinner,soup_salad
24,maintenance,breakfast,oats_fruits
33,weight_loss,lunch,grilled_chicken_salad
23,muscle_gain,breakfast,oatmeal_protein_shake
39,weight_loss,breakfast,fruit_bowl
18,muscle_gain,lunch,fish_rice
25,maintenance,breakfast,muesli_milk
21,muscle_gain,breakfast,oatmeal_protein_shake
36,weight_loss,breakfast,oats_green_tea
17,muscle_gain,breakfast,peanut_butter_toast
28,weight_loss,lunch,salad_chicken
20,muscle_gain,dinner,eggs_roti
40,weight_loss,breakfast,black_coffee_omelette
19,muscle_gain,dinner,paneer_roti
28,weight_loss,dinner,moong_dal_chilla
37,weight_loss,breakfast,fruit_bowl
17,muscle_gain,lunch,beef_stir_fry
32,weight_loss,breakfast,fruit_bowl
29,weight_loss,lunch,grilled_chicken_salad
26,maintenance,lunch,rice_dal_salad
38,weight_loss,lunch,sprouts_salad
25,maintenance,dinner,vegetable_soup
32,weight_loss,dinner,moong_dal_chilla
40,weight_loss,dinner,clear_soup_tofu
17,muscle_gain,dinner,tofu_steak_rice
26,maintenance,dinner,tofu_stir_fry
22,maintenance,lunch,mixed_veg_curry_rice
39,weight_loss,dinner,soup_salad
25,maintenance,breakfast,muesli_milk
35,weight_loss,lunch,clear_soup_crackers
26,maintenance,lunch,quinoa_bowl
19,muscle_gain,dinner,paneer_roti
27,maintenance,lunch,dal_roti
19,muscle_gain,lunch,paneer_pulao
18,muscle_gain,lunch,paneer_pulao
22,maintenance,breakfast,oats_fruits
23,muscle_gain,breakfast,peanut_butter_toast
25,maintenance,lunch,rice_dal_salad
22,maintenance,dinner,tofu_stir_fry
26,maintenance,breakfast,poha_with_peanuts
30,weight_loss,lunch,sprouts_salad
30,weight_loss,dinner,clear_soup_tofu
23,maintenance,breakfast,smoothie_oats
31,weight_loss,lunch,grilled_chicken_salad
39,weight_loss,dinner,soup_salad
28,weight_loss,dinner,clear_soup_tofu
30,weight_loss,dinner,roasted_cauliflower
21,muscle_gain,lunch,paneer_pulao
26,maintenance,breakfast,muesli_milk
24,maintenance,breakfast,poha_with_peanuts
18,muscle_gain,dinner,paneer_roti
19,muscle_gain,dinner,lentil_stew_rice
23,maintenance,lunch,chickpea_salad
31,weight_loss,dinner,clear_soup_tofu
20,muscle_gain,dinner,lentil_stew_rice
23,maintenance,breakfast,smoothie_oats
25,maintenance,lunch,dal_roti
23,maintenance,breakfast,avocado_toast
39,weight_loss,dinner,roasted_cauliflower
25,maintenance,lunch,chickpea_salad
33,weight_loss,breakfast,oats_green_tea
21,muscle_gain,lunch,fish_rice
27,maintenance,breakfast,oats_fruits
40,weight_loss,dinner,boiled_vegetables
19,muscle_gain,breakfast,oatmeal_protein_shake
19,muscle_gain,breakfast,oatmeal_protein_shake
19,muscle_gain,breakfast,peanut_butter_toast
22,muscle_gain,dinner,eggs_roti
21,muscle_gain,breakfast,paneer_paratha
27,maintenance,breakfast,avocado_toast
22,muscle_gain,lunch,lentils_quinoa
36,weight_loss,dinner,moong_dal_chilla
20,muscle_gain,lunch,lentils_quinoa
19,muscle_gain,lunch,beef_stir_fry
32,weight_loss,breakfast,black_coffee_omelette
35,weight_loss,lunch,salad_chicken
37,weight_loss,dinner,clear_soup_tofu
17,muscle_gain,dinner,lentil_stew_rice
24,maintenance,breakfast,oats_fruits
21,muscle_gain,dinner,lentil_stew_rice
17,muscle_gain,lunch,paneer_pulao
29,weight_loss,lunch,sprouts_salad
34,weight_loss,breakfast,boiled_eggs_spinach
21,muscle_gain,breakfast,eggs_milk_banana
31,weight_loss,breakfast,chia_pudding
23,maintenance,lunch,rice_dal_salad
38,weight_loss,dinner,boiled_vegetables
22,muscle_gain,breakfast,greek_yogurt_nuts
26,maintenance,breakfast,poha_with_peanuts
19,muscle_gain,lunch,fish_rice
29,weight_loss,dinner,soup_salad
27,maintenance,lunch,mixed_veg_curry_rice
27,maintenance,dinner,baked_fish_veggies
25,maintenance,dinner,vegetable_soup
29,weight_loss,lunch,sprouts_salad
29,weight_loss,dinner,boiled_vegetables
19,muscle_gain,breakfast,peanut_butter_toast
21,muscle_gain,breakfast,greek_yogurt_nuts
22,maintenance,lunch,quinoa_bowl
39,weight_loss,dinner,moong_dal_chilla
24,maintenance,breakfast,oats_fruits
27,maintenance,lunch,chickpea_salad
33,weight_loss,breakfast,oats_green_tea
21,muscle_gain,dinner,eggs_roti
28,weight_loss,breakfast,boiled_eggs_spinach
27,maintenance,lunch,dal_roti
23,muscle_gain,lunch,fish_rice
17,muscle_gain,dinner,lentil_stew_rice
21,muscle_gain,dinner,eggs_roti
19,muscle_gain,lunch,chicken_rice
37,weight_loss,breakfast,oats_green_tea
19,muscle_gain,dinner,paneer_roti
26,maintenance,dinner,tofu_stir_fry
30,weight_loss,lunch,clear_soup_crackers
17,muscle_gain,lunch,chicken_rice
25,maintenance,dinner,vegetable_soup
24,maintenance,dinner,vegetable_soup
26,maintenance,dinner,vegetable_soup
27,maintenance,dinner,tofu_stir_fry
25,maintenance,lunch,dal_roti
18,muscle_gain,dinner,tofu_steak_rice
21,muscle_gain,lunch,paneer_pulao
20,muscle_gain,breakfast,eggs_milk_banana
18,muscle_gain,breakfast,paneer_paratha
18,muscle_gain,breakfast,greek_yogurt_nuts
22,muscle_gain,lunch,beef_stir_fry
18,muscle_gain,lunch,turkey_sandwich
24,maintenance,dinner,baked_fish_veggies
18,muscle_gain,lunch,turkey_sandwich
36,weight_loss,lunch,vegetable_dalia
27,maintenance,breakfast,poha_with_peanuts
22,maintenance,breakfast,smoothie_oats
23,muscle_gain,breakfast,peanut_butter_toast
22,muscle_gain,lunch,chicken_rice
34,weight_loss,lunch,sprouts_salad
27,maintenance,breakfast,smoothie_oats
40,weight_loss,breakfast,black_coffee_omelette
17,muscle_gain,dinner,eggs_roti
25,maintenance,dinner,tofu_stir_fry
24,maintenance,lunch,mixed_veg_curry_rice
26,maintenance,dinner,cottage_cheese_salad
23,maintenance,lunch,rice_dal_salad
20,muscle_gain,lunch,turkey_sandwich
23,maintenance,breakfast,avocado_toast
26,maintenance,dinner,roti_vegetables
37,weight_loss,lunch,salad_chicken
17,muscle_gain,lunch,chicken_rice
25,maintenance,breakfast,avocado_toast
26,maintenance,dinner,cottage_cheese_salad
20,muscle_gain,breakfast,oatmeal_protein_shake
26,maintenance,breakfast,oats_fruits
18,muscle_gain,dinner,eggs_roti
26,maintenance,dinner,roti_vegetables
33,weight_loss,breakfast,oats_green_tea
19,muscle_gain,lunch,fish_rice
19,muscle_gain,dinner,grilled_chicken_sweet_potato
21,muscle_gain,breakfast,peanut_butter_toast
37,weight_loss,lunch,grilled_chicken_salad
24,maintenance,dinner,tofu_stir_fry
29,weight_loss,breakfast,oats_green_tea
23,maintenance,dinner,cottage_cheese_salad
