calories,protein,fat,carbs,bmi,goal,recommendation
1195,84,66,36,22.8,weight_loss,unhealthy
1015,71,48,202,26.1,weight_loss,unhealthy
655,142,52,145,34.9,maintenance,balanced
1475,105,78,204,24.8,maintenance,unhealthy
1216,99,63,58,26.4,weight_loss,unhealthy
537,91,61,105,29.5,weight_loss,unhealthy
1078,95,99,130,20.3,maintenance,unhealthy
1276,107,15,258,33.8,muscle_gain,excellent
991,130,29,226,26.5,weight_loss,balanced
2464,159,65,123,22.0,muscle_gain,excellent
963,117,50,23,33.8,maintenance,balanced
2435,8,58,71,28.3,weight_loss,unhealthy
579,92,38,52,25.7,weight_loss,balanced
692,155,88,249,27.4,muscle_gain,excellent
1380,174,11,105,30.5,muscle_gain,excellent
2262,7,66,36,19.8,muscle_gain,unbalanced
264,95,61,251,32.6,muscle_gain,healthy
1567,7,97,249,34.3,weight_loss,unhealthy
1352,160,80,76,27.2,maintenance,unhealthy
2227,85,9,290,29.3,muscle_gain,excellent
1695,163,80,201,32.5,muscle_gain,excellent
1362,142,97,128,23.7,maintenance,unhealthy
1722,98,39,161,34.9,weight_loss,unhealthy
591,130,88,274,29.2,maintenance,balanced
1898,117,41,240,24.6,maintenance,unhealthy
618,153,64,258,29.2,muscle_gain,excellent
578,104,69,68,26.4,maintenance,balanced
1996,57,20,26,19.0,maintenance,unhealthy
2478,91,34,180,31.3,weight_loss,unhealthy
2288,93,77,141,27.2,muscle_gain,excellent
2382,58,46,145,31.3,muscle_gain,excellent
400,24,65,51,19.8,muscle_gain,healthy
2063,117,78,15,26.7,weight_loss,unhealthy
979,53,81,179,30.8,weight_loss,unhealthy
702,139,52,297,34.8,weight_loss,unhealthy
1951,33,66,224,32.9,weight_loss,unhealthy
1004,52,88,78,32.6,muscle_gain,excellent
2346,17,97,36,21.5,muscle_gain,unbalanced
2095,7,68,234,32.1,maintenance,unhealthy
1770,6,61,243,20.0,weight_loss,unhealthy
1160,20,72,60,20.6,maintenance,unhealthy
1685,98,50,158,19.0,weight_loss,unhealthy
1228,106,32,84,32.4,maintenance,unhealthy
702,138,81,101,18.9,muscle_gain,excellent
597,49,7,77,19.5,muscle_gain,excellent
1070,75,41,244,21.4,weight_loss,unhealthy
592,137,52,153,27.3,muscle_gain,excellent
406,60,23,85,32.8,weight_loss,balanced
1238,131,96,95,24.5,maintenance,unhealthy
2081,36,87,236,26.8,weight_loss,unhealthy
1684,53,21,65,20.0,maintenance,unhealthy
1063,17,86,89,21.8,maintenance,unhealthy
763,162,86,33,19.4,weight_loss,unhealthy
1220,29,91,236,24.4,muscle_gain,healthy
295,64,44,37,27.6,maintenance,balanced
2123,63,54,130,22.1,muscle_gain,excellent
1957,160,77,102,32.2,maintenance,unhealthy
2478,62,33,121,34.7,maintenance,unhealthy
1878,24,55,40,19.2,maintenance,unhealthy
740,166,46,152,17.3,maintenance,balanced
1259,137,33,236,31.2,weight_loss,unhealthy
1383,175,70,259,20.4,maintenance,unhealthy
1922,61,21,59,23.4,muscle_gain,excellent
2019,58,35,223,24.1,muscle_gain,excellent
1797,116,96,278,33.5,weight_loss,unhealthy
995,177,56,297,28.9,maintenance,balanced
1251,90,43,204,17.7,weight_loss,unhealthy
1843,41,64,263,17.3,muscle_gain,excellent
1563,88,98,88,20.6,maintenance,unhealthy
2181,52,55,253,22.7,muscle_gain,excellent
1554,122,88,100,25.7,weight_loss,unhealthy
1863,52,20,15,32.1,weight_loss,unhealthy
1729,116,18,290,22.7,muscle_gain,excellent
2238,114,94,159,23.8,maintenance,unhealthy
1696,10,88,291,22.9,maintenance,unhealthy
2437,166,46,200,17.2,muscle_gain,excellent
1608,82,55,283,34.2,muscle_gain,excellent
1600,27,28,82,19.5,maintenance,unhealthy
1506,130,86,77,22.2,muscle_gain,excellent
1172,88,47,72,19.3,weight_loss,unhealthy
1968,17,77,143,25.8,maintenance,unhealthy
1482,51,23,277,33.8,maintenance,unhealthy
909,48,88,232,18.8,weight_loss,unhealthy
1679,109,65,135,24.9,muscle_gain,excellent
1634,164,98,274,17.4,maintenance,unhealthy
848,158,67,16,30.9,maintenance,balanced
517,18,30,215,28.5,maintenance,balanced
1457,125,99,188,29.6,muscle_gain,excellent
883,40,39,192,25.5,maintenance,balanced
863,12,71,237,33.3,muscle_gain,unbalanced
2198,172,60,245,24.4,weight_loss,unhealthy
1831,154,44,155,26.3,muscle_gain,excellent
1695,20,33,67,29.5,muscle_gain,unbalanced
1336,95,10,250,26.4,weight_loss,unhealthy
2053,124,56,296,20.4,muscle_gain,excellent
1720,64,5,172,22.7,weight_loss,unhealthy
763,14,56,35,18.7,maintenance,balanced
1491,157,28,115,24.8,weight_loss,unhealthy
1836,35,38,249,28.0,weight_loss,unhealthy
898,25,11,51,19.1,maintenance,balanced
2360,85,79,142,28.4,maintenance,unhealthy
201,37,15,53,33.1,muscle_gain,healthy
841,35,40,44,23.1,muscle_gain,excellent
2467,153,24,10,21.0,muscle_gain,excellent
1789,40,67,235,33.1,maintenance,unhealthy
1054,136,84,297,29.5,maintenance,unhealthy
1959,72,67,245,18.9,maintenance,unhealthy
1861,94,73,42,24.3,muscle_gain,excellent
1353,136,92,104,29.1,maintenance,unhealthy
1276,13,34,214,27.3,maintenance,unhealthy
1907,34,34,118,28.1,weight_loss,unhealthy
1895,119,88,39,27.2,weight_loss,unhealthy
1933,49,26,275,31.4,maintenance,unhealthy
1639,8,65,32,22.8,muscle_gain,unbalanced
2494,73,25,106,29.8,weight_loss,unhealthy
1035,27,41,48,34.8,maintenance,unhealthy
402,20,31,182,24.0,weight_loss,balanced
322,26,39,257,31.2,weight_loss,balanced
600,76,42,171,21.4,muscle_gain,excellent
966,52,64,189,22.1,maintenance,balanced
493,111,74,112,33.8,maintenance,balanced
397,137,36,218,17.5,muscle_gain,healthy
2130,11,84,31,20.9,muscle_gain,unbalanced
2391,55,96,14,25.7,muscle_gain,excellent
808,69,84,148,24.2,maintenance,balanced
1347,13,31,223,28.3,weight_loss,unhealthy
386,86,7,169,20.5,maintenance,healthy
1994,49,53,148,18.3,maintenance,unhealthy
859,126,89,154,23.6,muscle_gain,excellent
2155,179,34,169,26.4,muscle_gain,excellent
1569,156,26,92,27.1,muscle_gain,excellent
2186,14,23,164,27.8,maintenance,unhealthy
1734,77,35,297,26.9,muscle_gain,excellent
346,52,24,290,21.4,muscle_gain,healthy
1934,167,23,73,30.8,weight_loss,unhealthy
2043,91,6,201,18.6,weight_loss,unhealthy
688,115,44,165,20.6,muscle_gain,excellent
2159,20,43,100,30.3,weight_loss,unhealthy
1863,57,95,151,22.0,maintenance,unhealthy
840,44,76,51,25.9,weight_loss,unhealthy
2002,104,58,258,22.9,muscle_gain,excellent
2169,24,31,267,26.1,maintenance,unhealthy
2398,73,83,10,23.2,maintenance,unhealthy
1638,49,16,118,34.9,weight_loss,unhealthy
1834,10,82,134,23.4,muscle_gain,unbalanced
462,43,75,73,28.3,muscle_gain,excellent
1987,106,21,215,33.0,weight_loss,unhealthy
2391,134,94,253,28.5,weight_loss,unhealthy
823,111,88,87,27.2,weight_loss,unhealthy
1216,43,14,120,27.2,muscle_gain,excellent
1080,122,23,151,25.9,weight_loss,balanced
2249,153,86,225,31.5,weight_loss,unhealthy
1527,172,34,25,17.9,weight_loss,unhealthy
652,86,34,63,32.9,muscle_gain,excellent
1383,58,29,150,27.6,maintenance,unhealthy
2256,114,92,88,32.3,muscle_gain,excellent
1882,16,78,158,17.2,muscle_gain,unbalanced
2455,169,70,136,32.6,maintenance,unhealthy
1354,114,39,167,19.2,muscle_gain,excellent
603,42,55,288,30.0,maintenance,balanced
2399,147,75,47,24.5,maintenance,unhealthy
2301,11,75,166,29.3,maintenance,unhealthy
1896,82,31,297,28.3,maintenance,unhealthy
827,69,14,121,19.9,muscle_gain,excellent
786,106,47,199,26.3,maintenance,balanced
1848,105,59,115,22.0,weight_loss,unhealthy
1643,48,75,100,27.1,maintenance,unhealthy
1645,35,10,58,30.3,maintenance,unhealthy
303,175,10,170,18.5,muscle_gain,healthy
453,81,81,13,26.3,weight_loss,unhealthy
1696,52,52,207,28.1,maintenance,unhealthy
298,86,81,263,22.3,weight_loss,unhealthy
2400,131,6,99,34.2,maintenance,unhealthy
2084,88,87,29,26.4,muscle_gain,excellent
2119,14,55,86,20.3,weight_loss,unhealthy
1077,33,65,229,18.9,weight_loss,unhealthy
537,52,23,171,26.7,muscle_gain,excellent
1156,120,6,124,23.8,muscle_gain,excellent
1904,17,55,103,20.5,muscle_gain,unbalanced
360,176,30,142,17.6,muscle_gain,healthy
1803,51,74,181,27.2,weight_loss,unhealthy
597,107,24,123,27.8,muscle_gain,excellent
1500,95,27,18,19.6,weight_loss,unhealthy
1015,57,58,269,27.8,maintenance,unhealthy
1727,96,19,179,34.1,maintenance,unhealthy
2119,81,10,107,34.6,muscle_gain,excellent
1615,48,96,178,33.0,muscle_gain,excellent
1358,160,39,227,31.5,weight_loss,unhealthy
1418,6,79,53,20.8,weight_loss,unhealthy
600,105,12,270,19.8,maintenance,balanced
839,61,61,294,25.0,weight_loss,unhealthy
659,61,54,135,28.2,muscle_gain,excellent
1154,38,53,269,32.3,maintenance,unhealthy
669,62,92,223,21.2,maintenance,balanced
1245,161,25,209,25.6,muscle_gain,excellent
1893,39,40,245,28.7,weight_loss,unhealthy
2285,79,75,145,25.0,muscle_gain,excellent
2477,37,73,125,25.2,weight_loss,unhealthy
762,119,62,164,21.1,maintenance,balanced
1999,79,67,27,34.8,muscle_gain,excellent
2274,77,97,13,25.6,maintenance,unhealthy
425,82,20,174,26.6,maintenance,balanced
997,13,10,136,20.9,muscle_gain,unbalanced
1159,52,82,222,26.3,maintenance,unhealthy
1704,71,56,57,21.6,weight_loss,unhealthy
652,168,6,55,20.6,muscle_gain,excellent
1015,123,93,55,22.0,weight_loss,unhealthy
858,176,99,57,17.0,weight_loss,unhealthy
746,137,81,196,27.3,weight_loss,unhealthy
1415,123,22,129,24.0,muscle_gain,excellent
216,90,85,141,33.2,weight_loss,unhealthy
1443,110,96,28,17.7,muscle_gain,excellent
2405,80,80,284,17.8,weight_loss,unhealthy
1269,44,39,241,32.9,muscle_gain,excellent
2346,23,90,51,19.3,weight_loss,unhealthy
1968,51,43,101,17.0,maintenance,unhealthy
1260,69,5,270,20.2,weight_loss,unhealthy
501,150,41,57,31.8,maintenance,balanced
380,34,25,291,31.4,maintenance,balanced
806,130,5,83,23.1,weight_loss,balanced
899,70,8,225,29.0,weight_loss,balanced
1192,9,62,230,26.1,maintenance,unhealthy
1339,97,5,118,33.3,muscle_gain,excellent
390,101,17,144,18.0,weight_loss,excellent
1180,174,50,247,31.6,maintenance,unhealthy
2206,98,51,164,20.1,muscle_gain,excellent
1384,110,85,65,24.0,weight_loss,unhealthy
327,137,80,207,20.5,muscle_gain,healthy
2265,89,11,47,29.6,maintenance,unhealthy
2016,62,55,226,29.2,weight_loss,unhealthy
1958,83,7,240,26.9,muscle_gain,excellent
769,12,54,266,29.6,weight_loss,unhealthy
1546,163,30,218,28.5,muscle_gain,excellent
2095,16,35,210,31.0,muscle_gain,unbalanced
825,153,66,146,21.3,weight_loss,unhealthy
1886,98,30,137,24.7,weight_loss,unhealthy
354,95,71,62,19.7,weight_loss,unhealthy
1609,37,59,93,24.7,maintenance,unhealthy
984,158,32,218,29.6,weight_loss,balanced
445,104,48,294,29.4,muscle_gain,excellent
1700,172,85,45,29.8,weight_loss,unhealthy
1905,19,42,224,22.6,maintenance,unhealthy
737,118,34,36,28.9,maintenance,balanced
2090,133,70,155,23.6,weight_loss,unhealthy
2041,15,12,27,34.0,muscle_gain,unbalanced
1120,59,18,127,23.2,maintenance,unhealthy
724,6,66,146,27.9,muscle_gain,unbalanced
1729,69,79,76,30.5,maintenance,unhealthy
235,176,67,39,33.3,maintenance,balanced
884,20,83,82,24.9,muscle_gain,unbalanced
219,154,70,132,23.5,muscle_gain,healthy
599,110,44,237,24.7,maintenance,healthy
1171,150,17,282,22.8,muscle_gain,excellent
2106,179,21,255,28.8,weight_loss,unhealthy
1366,34,19,48,33.8,weight_loss,unhealthy
1315,14,37,179,19.3,maintenance,unhealthy
1033,66,20,111,27.1,weight_loss,balanced
2023,89,17,252,33.2,maintenance,unhealthy
2182,138,90,166,18.8,muscle_gain,excellent
1053,71,27,274,25.9,muscle_gain,excellent
250,45,40,266,32.6,weight_loss,balanced
774,175,47,132,33.2,muscle_gain,excellent
1348,22,54,56,26.3,weight_loss,unhealthy
2397,62,78,19,17.4,maintenance,unhealthy
1915,64,85,153,18.9,weight_loss,unhealthy
881,92,98,161,27.6,weight_loss,unhealthy
1037,31,17,145,19.2,muscle_gain,excellent
1277,72,34,84,19.7,muscle_gain,excellent
1795,26,61,35,30.9,muscle_gain,healthy
204,156,34,16,30.5,weight_loss,balanced
1326,44,75,88,32.2,muscle_gain,excellent
1419,113,14,24,18.9,maintenance,unhealthy
973,78,70,216,20.6,weight_loss,unhealthy
1076,70,98,98,32.0,weight_loss,unhealthy
1191,172,87,106,30.0,weight_loss,unhealthy
246,10,43,225,31.5,maintenance,balanced
468,116,41,268,34.8,maintenance,balanced
569,22,7,296,32.6,muscle_gain,healthy
835,85,93,84,26.4,muscle_gain,excellent
1329,106,38,251,22.6,weight_loss,unhealthy
1893,114,90,26,27.3,muscle_gain,excellent
1882,34,42,186,28.5,maintenance,unhealthy
856,126,18,268,23.0,muscle_gain,excellent
319,153,68,132,30.9,muscle_gain,healthy
1030,66,43,120,18.7,weight_loss,unhealthy
2010,142,58,265,31.0,maintenance,unhealthy
1281,124,6,243,17.6,maintenance,unhealthy
2174,111,47,49,26.0,maintenance,unhealthy
1569,145,57,131,32.5,muscle_gain,excellent
940,80,7,224,18.6,maintenance,balanced
316,13,45,295,26.3,muscle_gain,unbalanced
2053,43,12,290,19.9,weight_loss,unhealthy
1350,28,94,16,33.1,maintenance,unhealthy
2131,129,79,101,32.0,weight_loss,unhealthy
1212,122,67,132,33.8,muscle_gain,excellent
1864,38,69,105,32.7,maintenance,unhealthy
1281,65,83,10,30.3,muscle_gain,excellent
833,173,8,100,20.3,maintenance,balanced
712,137,72,16,22.4,muscle_gain,excellent
1319,83,96,129,25.9,muscle_gain,excellent
1341,54,14,138,27.6,muscle_gain,excellent
759,136,79,188,31.1,weight_loss,unhealthy
687,55,54,107,21.1,maintenance,balanced
1096,56,27,52,19.3,muscle_gain,excellent
1412,126,65,192,25.7,maintenance,unhealthy
903,171,51,194,19.8,muscle_gain,excellent
1670,12,7,62,29.5,maintenance,unhealthy
780,117,21,237,27.4,muscle_gain,excellent
2494,49,26,170,30.3,muscle_gain,excellent
353,92,95,244,18.1,weight_loss,unhealthy
1879,32,20,209,34.4,maintenance,unhealthy
1196,123,84,10,17.0,weight_loss,unhealthy
1443,111,7,23,22.9,muscle_gain,excellent
1292,31,56,222,29.2,weight_loss,unhealthy
1208,166,37,286,17.8,weight_loss,unhealthy
2341,85,46,43,18.5,weight_loss,unhealthy
1973,105,6,279,18.4,weight_loss,unhealthy
1157,66,43,177,27.5,maintenance,unhealthy
652,66,50,179,33.1,weight_loss,unhealthy
1427,170,52,91,27.0,muscle_gain,excellent
2465,30,31,146,27.9,muscle_gain,healthy
750,125,19,242,23.2,weight_loss,excellent
1835,28,11,124,17.3,weight_loss,unhealthy
1512,43,61,261,17.4,weight_loss,unhealthy
1957,128,46,298,33.0,muscle_gain,excellent
556,25,13,58,18.8,weight_loss,excellent
2270,98,10,13,35.0,maintenance,unhealthy
1985,179,61,185,20.0,weight_loss,unhealthy
1981,119,80,281,29.1,maintenance,unhealthy
1831,125,34,35,34.1,weight_loss,unhealthy
1215,17,59,79,23.5,muscle_gain,unbalanced
1548,135,88,243,30.2,muscle_gain,excellent
715,164,88,240,23.3,weight_loss,unhealthy
535,167,58,272,22.5,maintenance,healthy
1982,23,31,295,20.6,muscle_gain,healthy
696,146,88,83,31.8,muscle_gain,excellent
1095,85,63,130,21.6,muscle_gain,excellent
2407,127,11,15,22.1,weight_loss,unhealthy
1051,72,44,33,35.0,weight_loss,unhealthy
1887,177,98,203,22.9,weight_loss,unhealthy
2131,23,76,177,24.6,maintenance,unhealthy
1768,68,6,219,34.8,weight_loss,unhealthy
1156,105,18,142,23.6,maintenance,unhealthy
1836,70,14,183,23.6,weight_loss,unhealthy
1491,70,54,160,31.9,maintenance,unhealthy
1640,79,22,97,22.6,maintenance,unhealthy
1391,49,22,275,21.2,weight_loss,unhealthy
1266,91,20,79,24.6,maintenance,unhealthy
484,71,56,214,29.6,muscle_gain,excellent
211,7,73,41,17.8,muscle_gain,unbalanced
1830,170,56,52,23.7,weight_loss,unhealthy
953,174,35,127,23.2,muscle_gain,excellent
2282,172,88,24,21.4,weight_loss,unhealthy
289,167,27,124,28.8,maintenance,balanced
975,28,46,29,22.2,muscle_gain,healthy
1825,92,85,187,27.9,maintenance,unhealthy
617,21,66,271,26.1,weight_loss,unhealthy
314,44,81,88,20.9,weight_loss,unhealthy
816,176,54,129,21.8,maintenance,balanced
1025,155,81,35,20.1,weight_loss,unhealthy
1849,10,85,31,18.0,muscle_gain,unbalanced
1716,153,19,210,28.1,weight_loss,unhealthy
612,123,94,73,29.1,muscle_gain,excellent
928,124,48,223,20.0,weight_loss,unhealthy
875,39,96,87,28.1,muscle_gain,excellent
2092,117,46,225,34.7,weight_loss,unhealthy
2439,33,49,233,18.3,weight_loss,unhealthy
1322,11,98,37,25.8,maintenance,unhealthy
1771,57,39,210,30.2,maintenance,unhealthy
1177,169,26,76,17.8,muscle_gain,excellent
1208,27,78,135,31.0,maintenance,unhealthy
2343,101,79,204,34.6,maintenance,unhealthy
1887,140,42,183,18.6,muscle_gain,excellent
236,80,74,96,31.8,maintenance,balanced
1748,14,68,163,23.8,muscle_gain,unbalanced
2464,121,11,219,19.6,muscle_gain,excellent
1072,28,48,22,25.9,muscle_gain,healthy
2021,179,80,173,18.3,muscle_gain,excellent
1496,43,11,264,26.4,weight_loss,unhealthy
2309,70,70,73,17.3,weight_loss,unhealthy
795,10,64,85,30.1,muscle_gain,unbalanced
2103,25,5,31,25.8,maintenance,unhealthy
928,77,66,69,25.3,muscle_gain,excellent
1565,78,91,65,20.5,muscle_gain,excellent
596,40,93,177,23.5,maintenance,healthy
898,135,22,214,20.3,muscle_gain,excellent
2424,174,11,268,30.2,weight_loss,unhealthy
1835,177,58,200,20.6,muscle_gain,excellent
595,48,71,64,28.1,weight_loss,unhealthy
275,95,97,293,22.0,maintenance,healthy
464,165,14,273,28.8,maintenance,balanced
2019,64,65,268,26.7,maintenance,unhealthy
917,97,63,98,24.6,weight_loss,unhealthy
1050,87,63,231,29.1,muscle_gain,excellent
1590,87,73,98,24.5,maintenance,unhealthy
343,81,67,68,31.8,maintenance,balanced
1084,30,12,161,30.1,maintenance,unhealthy
595,25,82,37,26.7,muscle_gain,healthy
1692,124,59,234,32.8,muscle_gain,excellent
1367,134,10,60,31.9,weight_loss,unhealthy
1262,179,5,272,26.6,weight_loss,unhealthy
2356,112,60,288,18.2,muscle_gain,excellent
1265,162,79,55,27.2,muscle_gain,excellent
1409,31,92,115,23.4,maintenance,unhealthy
833,75,14,293,26.7,maintenance,balanced
1356,152,27,33,28.6,weight_loss,unhealthy
1438,54,20,16,28.6,maintenance,unhealthy
932,99,20,12,29.1,muscle_gain,excellent
434,27,60,267,29.2,muscle_gain,healthy
950,145,99,272,19.0,weight_loss,unhealthy
1153,85,10,130,20.5,muscle_gain,excellent
1742,136,34,217,28.3,weight_loss,unhealthy
1397,146,67,30,24.3,maintenance,unhealthy
1876,24,5,149,30.7,weight_loss,unhealthy
1391,128,55,289,19.2,muscle_gain,excellent
2417,17,93,298,20.4,maintenance,unhealthy
1616,7,50,215,27.1,muscle_gain,unbalanced
1417,179,25,52,26.0,muscle_gain,excellent
1740,135,42,127,21.8,maintenance,unhealthy
2276,133,73,14,24.4,muscle_gain,excellent
1645,94,67,216,17.6,muscle_gain,excellent
1719,156,54,132,17.7,maintenance,unhealthy
1588,39,16,151,18.7,muscle_gain,excellent
2056,18,73,241,27.4,weight_loss,unhealthy
1565,145,77,173,32.5,muscle_gain,excellent
699,179,48,44,21.7,muscle_gain,excellent
1880,54,56,20,17.6,maintenance,unhealthy
710,82,13,84,29.8,weight_loss,excellent
416,158,69,207,32.4,muscle_gain,excellent
1524,7,14,273,19.5,maintenance,unhealthy
1355,44,50,233,23.9,muscle_gain,excellent
2027,168,62,131,19.9,muscle_gain,excellent
2010,55,41,83,18.9,muscle_gain,excellent
1405,5,56,37,28.7,weight_loss,unhealthy
2414,108,85,180,34.4,maintenance,unhealthy
290,165,17,225,29.2,weight_loss,excellent
913,139,10,110,34.7,muscle_gain,excellent
2081,121,62,255,24.8,weight_loss,unhealthy
238,120,52,102,33.2,muscle_gain,healthy
372,56,36,72,20.7,weight_loss,balanced
852,124,15,275,19.1,maintenance,balanced
953,143,85,215,29.6,weight_loss,unhealthy
1443,159,9,89,23.7,maintenance,unhealthy
1281,146,10,46,22.7,muscle_gain,excellent
1883,90,78,20,29.1,maintenance,unhealthy
655,50,98,124,23.0,muscle_gain,excellent
1028,80,25,99,27.3,weight_loss,balanced
1094,14,46,241,22.4,weight_loss,unhealthy
1584,156,85,28,31.1,maintenance,unhealthy
2158,65,31,61,22.6,weight_loss,unhealthy
2196,22,7,283,26.6,weight_loss,unhealthy
389,90,64,103,17.4,muscle_gain,healthy
704,141,97,41,31.3,weight_loss,unhealthy
1414,149,70,160,28.2,muscle_gain,excellent
1731,132,97,149,20.5,maintenance,unhealthy
1023,108,53,67,20.9,weight_loss,unhealthy
1128,145,38,30,21.7,maintenance,unhealthy
1133,105,41,158,27.4,weight_loss,unhealthy
1340,10,46,230,26.9,maintenance,unhealthy
333,89,69,230,21.9,maintenance,healthy
2305,55,64,251,29.5,muscle_gain,excellent
884,40,94,228,33.0,weight_loss,unhealthy
2420,75,5,38,17.8,maintenance,unhealthy
2052,104,63,56,24.5,muscle_gain,excellent
1014,29,8,67,27.7,maintenance,unhealthy
1372,143,18,284,27.6,maintenance,unhealthy
279,48,22,149,17.4,maintenance,balanced
402,18,38,32,20.8,weight_loss,balanced
1452,33,5,72,18.1,weight_loss,unhealthy
1899,78,57,61,27.2,maintenance,unhealthy
1450,54,26,275,28.6,maintenance,unhealthy
1882,9,84,176,19.9,maintenance,unhealthy
1755,114,65,160,23.0,weight_loss,unhealthy
2294,126,26,20,22.9,maintenance,unhealthy
1456,92,54,104,31.8,maintenance,unhealthy
1749,61,20,81,20.5,maintenance,unhealthy
1366,30,32,57,26.9,maintenance,unhealthy
1596,10,96,281,31.1,weight_loss,unhealthy
670,148,90,104,31.9,muscle_gain,excellent
1235,64,74,242,29.0,muscle_gain,excellent
1553,104,93,57,22.4,maintenance,unhealthy
1167,16,46,217,31.8,muscle_gain,unbalanced
557,79,70,236,30.4,muscle_gain,excellent
867,7,75,86,29.7,weight_loss,unhealthy
572,67,85,228,18.2,maintenance,balanced
1231,138,39,90,17.8,weight_loss,unhealthy
1345,23,24,46,29.5,muscle_gain,healthy
1571,22,6,111,34.0,muscle_gain,healthy
289,84,11,200,30.9,maintenance,balanced
739,175,53,38,32.0,maintenance,balanced
1068,77,87,262,26.8,weight_loss,unhealthy
240,135,80,260,22.5,maintenance,healthy
939,130,13,235,29.2,muscle_gain,excellent
2146,76,31,103,29.8,weight_loss,unhealthy
1424,42,82,95,29.2,weight_loss,unhealthy
1128,72,6,119,34.0,maintenance,unhealthy
2236,176,89,226,23.6,maintenance,unhealthy
1124,84,72,205,17.7,muscle_gain,excellent
1781,46,64,53,33.4,weight_loss,unhealthy
589,68,89,99,19.9,weight_loss,unhealthy
1817,82,90,164,29.6,weight_loss,unhealthy
455,131,53,118,32.7,weight_loss,unhealthy
908,109,6,68,22.6,muscle_gain,excellent
2038,80,21,119,31.9,muscle_gain,excellent
2144,169,87,115,23.0,muscle_gain,excellent
209,136,92,230,31.3,maintenance,balanced
997,134,24,272,18.3,muscle_gain,excellent
1076,126,80,91,28.8,muscle_gain,excellent
1228,48,93,281,29.2,muscle_gain,excellent
1215,106,91,58,25.8,muscle_gain,excellent
2024,66,36,41,29.4,maintenance,unhealthy
573,5,55,98,33.6,weight_loss,unhealthy
2393,21,92,28,30.2,weight_loss,unhealthy
423,20,46,12,34.3,maintenance,balanced
1462,13,67,69,25.1,muscle_gain,unbalanced
2424,63,93,251,26.5,weight_loss,unhealthy
2002,123,65,38,21.7,weight_loss,unhealthy
1052,141,66,84,34.7,weight_loss,unhealthy
262,144,7,79,18.0,weight_loss,excellent
1440,123,93,92,23.5,muscle_gain,excellent
888,45,96,182,22.4,weight_loss,unhealthy
1684,147,80,206,24.0,maintenance,unhealthy
1833,70,30,156,33.5,maintenance,unhealthy
2352,79,52,282,23.6,weight_loss,unhealthy
710,15,12,44,33.5,muscle_gain,unbalanced
584,12,9,122,24.6,weight_loss,excellent
604,138,15,215,32.4,weight_loss,excellent
717,152,46,167,26.4,weight_loss,unhealthy
675,171,95,262,22.6,maintenance,balanced
